,Rank (Borda),Model,Zero-shot,Number of Parameters,Embedding Dimensions,Max Tokens,Mean (Task),Mean (TaskType),Bitext Mining,Classification,Clustering,Instruction Retrieval,Multilabel Classification,Pair Classification,Reranking,Retrieval,STS
168,169,[gtr-t5-xxl](https://huggingface.co/sentence-transformers/gtr-t5-xxl),100,4B,768,512,,,,,,,,,,,
169,170,[gtr-t5-xl](https://huggingface.co/sentence-transformers/gtr-t5-xl),100,1B,768,512,,,,,,,,,,,
170,171,[LLM2Vec-Llama-2-7b-chat-hf-mntp-unsup-simcse](https://huggingface.co/McGill-NLP/LLM2Vec-Llama-2-7b-chat-hf-mntp-unsup-simcse),100,7B,4096,32768,,,,,,,,,,,
171,172,[LLM2Vec-Meta-Llama-3-8B-Instruct-mntp-unsup-simcse](https://huggingface.co/McGill-NLP/LLM2Vec-Meta-Llama-3-8B-Instruct-mntp-unsup-simcse),100,7B,4096,8192,,,,,,,,,,,
172,173,[gtr-t5-base](https://huggingface.co/sentence-transformers/gtr-t5-base),100,110M,768,512,,,,,,,,,,,
173,174,[gtr-t5-large](https://huggingface.co/sentence-transformers/gtr-t5-large),100,335M,768,512,,,,,,,,,,,
174,175,[LLM2Vec-Sheared-LLaMA-mntp-unsup-simcse](https://huggingface.co/McGill-NLP/LLM2Vec-Sheared-LLaMA-mntp-unsup-simcse),100,7B,4096,32768,,,,,,,,,,,
175,176,[stella-large-zh-v3-1792d](https://huggingface.co/dunzhang/stella-large-zh-v3-1792d),100,Unknown,1792,512,,,,,,,,,,,
176,177,[stella-base-zh-v3-1792d](https://huggingface.co/infgrad/stella-base-zh-v3-1792d),100,Unknown,1792,512,,,,,,,,,,,
177,178,[MicroLlama-text-embedding](https://huggingface.co/keeeeenw/MicroLlama-text-embedding),100,272M,1024,2048,,,,,,,,,,,
178,179,[Dmeta-embedding-zh-small](https://huggingface.co/DMetaSoul/Dmeta-embedding-zh-small/),-1,74M,768,1024,,,,,,,,,,,
179,180,[FRIDA](https://huggingface.co/ai-forever/FRIDA),84,823M,1536,512,,,,,,,,,,,
180,181,[zpoint_large_embedding_zh](https://huggingface.co/iampanda/zpoint_large_embedding_zh),99,326M,1792,512,,,,,,,,,,,
181,182,[xiaobu-embedding-v2](https://huggingface.co/lier007/xiaobu-embedding-v2),-1,326M,768,512,,,,,,,,,,,
182,183,[bge-base-zh-v1.5](https://huggingface.co/BAAI/bge-base-zh-v1.5),100,109M,768,512,,,,,,,,,,,
183,184,[bge-large-zh-v1.5](https://huggingface.co/BAAI/bge-large-zh-v1.5),100,335M,1024,512,,,,,,,,,,,
184,185,[Conan-embedding-v1](https://huggingface.co/Classical/Yinka),-1,326M,768,512,,,,,,,,,,,
185,186,[gte-base-zh](https://huggingface.co/thenlper/gte-base-zh),-1,102M,1024,512,,,,,,,,,,,
186,187,[piccolo-base-zh](https://huggingface.co/sensenova/piccolo-base-zh),-1,Unknown,768,512,,,,,,,,,,,
187,188,[m3e-base](https://huggingface.co/moka-ai/m3e-base),99,102M,768,512,,,,,,,,,,,
188,189,[MiniCPM-Embedding](https://huggingface.co/openbmb/MiniCPM-Embedding),-1,2B,2304,512,,,,,,,,,,,
189,190,[gte-large-zh](https://huggingface.co/thenlper/gte-large-zh),-1,326M,1024,512,,,,,,,,,,,
190,191,[Yinka](https://huggingface.co/Classical/Yinka),-1,326M,1024,512,,,,,,,,,,,
191,192,[stella-mrl-large-zh-v3.5-1792d](https://huggingface.co/dunzhang/stella-large-zh-v3-1792d),-1,326M,1792,512,,,,,,,,,,,
192,193,[xiaobu-embedding](https://huggingface.co/lier007/xiaobu-embedding),-1,326M,1024,512,,,,,,,,,,,
193,194,[text2vec-base-chinese](https://huggingface.co/shibing624/text2vec-base-chinese),100,102M,768,512,,,,,,,,,,,
194,195,[m3e-large](https://huggingface.co/moka-ai/m3e-large),99,Unknown,768,512,,,,,,,,,,,
195,196,[gte-small-zh](https://huggingface.co/thenlper/gte-small-zh),-1,30M,1024,512,,,,,,,,,,,
196,197,[bge-small-zh-v1.5](https://huggingface.co/BAAI/bge-small-zh-v1.5),100,33M,512,512,,,,,,,,,,,
197,198,[bge-large-zh](https://huggingface.co/BAAI/bge-large-zh),100,335M,1024,512,,,,,,,,,,,
198,199,[bge-base-zh](https://huggingface.co/BAAI/bge-base-zh),100,109M,768,512,,,,,,,,,,,
199,200,[sbert-chinese-general-v1](https://huggingface.co/DMetaSoul/sbert-chinese-general-v1),99,Unknown,128,512,,,,,,,,,,,
200,201,[cai-stellaris-text-embeddings](https://huggingface.co/consciousAI/cai-stellaris-text-embeddings),-1,Unknown,768,514,,,,,,,,,,,
201,202,[bge-small-zh](https://huggingface.co/BAAI/bge-small-zh),100,33M,512,512,,,,,,,,,,,
202,203,flan-t5-large,100,783M,Unknown,1024,,,,,,4.72,,,,,
203,204,monot5-3b-msmarco-10k,-1,Unknown,Unknown,Unknown,,,,,,2.53,,,,,
204,205,[Tooka-SBERT](https://huggingface.co/PartAI/Tooka-SBERT),100,353M,1024,512,,,,,,,,,,,
205,206,[e5-R-mistral-7b](https://huggingface.co/BeastyZ/e5-R-mistral-7b),99,7B,Unknown,32768,,,,,,,,,,,
206,207,[fabert](https://huggingface.co/sbunlp/fabert),100,124M,768,512,,,,,,,,,,,
207,208,[bert-base-parsbert-uncased](https://huggingface.co/HooshvareLab/bert-base-parsbert-uncased),100,162M,768,512,,,,,,,,,,,
208,208,[TookaBERT-Base](https://huggingface.co/PartAI/TookaBERT-Base),100,122M,768,512,,,,,,,,,,,
209,210,monot5-base-msmarco-10k,-1,Unknown,Unknown,Unknown,,,,,,-1.74,,,,,
210,211,flan-t5-base,100,248M,768,Unknown,,,,,,0.64,,,,,
211,212,[bert-zwnj-wnli-mean-tokens](https://huggingface.co/m3hrdadfi/bert-zwnj-wnli-mean-tokens),100,118M,768,512,,,,,,,,,,,
212,213,[roberta-zwnj-wnli-mean-tokens](https://huggingface.co/m3hrdadfi/roberta-zwnj-wnli-mean-tokens),100,118M,768,514,,,,,,,,,,,
213,214,[mxbai-embed-xsmall-v1](https://huggingface.co/mixedbread-ai/mxbai-embed-xsmall-v1),100,24M,384,512,,,,,,,,,,,
214,215,[bm25s](https://github.com/xhluca/bm25s),-1,Unknown,Unknown,Unknown,,,,,,,,,,,
215,216,[sentence-transformer-parsbert-fa](https://huggingface.co/myrkur/sentence-transformer-parsbert-fa),100,162M,768,512,,,,,,,,,,,
216,217,monobert-large-msmarco,-1,Unknown,Unknown,Unknown,,,,,,-3.47,,,,,
217,218,[text2vec-base-chinese-paraphrase](https://huggingface.co/shibing624/text2vec-base-chinese-paraphrase),100,118M,768,512,,,,,,,,,,,
218,219,[m3e-small](https://huggingface.co/moka-ai/m3e-small),99,Unknown,512,512,,,,,,,,,,,
219,220,[Qodo-Embed-1-7B](https://huggingface.co/Qodo/Qodo-Embed-1-7B),-1,7B,3584,32768,,,,,,,,,,,
220,221,[Qodo-Embed-1-1.5B](https://huggingface.co/Qodo/Qodo-Embed-1-1.5B),-1,1B,1536,32768,,,,,,,,,,,
